season,avg_match_score
2007/08,309.26
2009,286.89
2009/10,314.72
2011,289.78
2012,303.42
2013,297.39
2014,315.52
2015,311.07
2016,314.37
2017,318.41
2018,331.68
2019,323.90
2020/21,323.60
2021,310.62
2022,329.66
2023,347.14
2024,365.79
